Geography,County,State,Median Income,ACS Home Value,Zillow Home Value,Zillow Bottom Tier Home Value,Zillow Top Tier Home Value
"Knox County, Missouri",Knox County,Missouri,53050,72400,,,
"Laclede County, Missouri",Laclede County,Missouri,52125,112700,132300,81700,212600
"Lafayette County, Missouri",Lafayette County,Missouri,66982,122600,,,
"Lawrence County, Missouri",Lawrence County,Missouri,53838,98000,103900,66800,167300
"Lewis County, Missouri",Lewis County,Missouri,56230,85500,,,
"Lincoln County, Missouri",Lincoln County,Missouri,66604,154100,171700,103200,270400
"Linn County, Missouri",Linn County,Missouri,53239,80400,,37400,
"Livingston County, Missouri",Livingston County,Missouri,57194,106000,106100,,197700
"McDonald County, Missouri",McDonald County,Missouri,52829,97000,103200,68100,181800
"Macon County, Missouri",Macon County,Missouri,50402,89000,119900,63600,
"Madison County, Missouri",Madison County,Missouri,48787,99800,94500,58900,
"Maries County, Missouri",Maries County,Missouri,52529,122800,,,
"Marion County, Missouri",Marion County,Missouri,56439,113500,123100,70300,
"Mercer County, Missouri",Mercer County,Missouri,52222,82500,70800,25800,153600
"Miller County, Missouri",Miller County,Missouri,57662,126500,134700,89800,208900
"Mississippi County, Missouri",Mississippi County,Missouri,47483,73400,,,
"Moniteau County, Missouri",Moniteau County,Missouri,61155,118400,122000,74800,216700
"Monroe County, Missouri",Monroe County,Missouri,51841,103100,,,
"Montgomery County, Missouri",Montgomery County,Missouri,52600,105300,,,
"Morgan County, Missouri",Morgan County,Missouri,49146,115600,,,
"New Madrid County, Missouri",New Madrid County,Missouri,48603,74500,85700,,143000
"Newton County, Missouri",Newton County,Missouri,66211,118200,139200,,
"Nodaway County, Missouri",Nodaway County,Missouri,54613,117800,,,
"Oregon County, Missouri",Oregon County,Missouri,43438,87200,68600,53300,84100
"Osage County, Missouri",Osage County,Missouri,64491,140500,165900,113800,231100
"Ozark County, Missouri",Ozark County,Missouri,41856,91800,,,
"Pemiscot County, Missouri",Pemiscot County,Missouri,46368,73300,,,
"Perry County, Missouri",Perry County,Missouri,62535,131900,142600,94600,207400
"Pettis County, Missouri",Pettis County,Missouri,56537,111400,100300,,173200
"Phelps County, Missouri",Phelps County,Missouri,59889,126100,139200,94600,201300
"Pike County, Missouri",Pike County,Missouri,57562,106500,150500,,
"Platte County, Missouri",Platte County,Missouri,92751,204900,241200,163000,395900
"Polk County, Missouri",Polk County,Missouri,56590,122600,,,225000
"Pulaski County, Missouri",Pulaski County,Missouri,60526,141700,163700,,219500
"Putnam County, Missouri",Putnam County,Missouri,48129,84500,84500,,
"Ralls County, Missouri",Ralls County,Missouri,61007,126000,133300,,
"Randolph County, Missouri",Randolph County,Missouri,55964,93800,102200,,194700
"Ray County, Missouri",Ray County,Missouri,68069,129700,,,
"Reynolds County, Missouri",Reynolds County,Missouri,51278,90300,,65100,160600
"Ripley County, Missouri",Ripley County,Missouri,45171,87800,,,
"St. Charles County, Missouri",St. Charles County,Missouri,94519,198500,,,
"St. Clair County, Missouri",St. Clair County,Missouri,46700,78500,,,
"Ste. Genevieve County, Missouri",Ste. Genevieve County,Missouri,64551,148800,,,
"St. Francois County, Missouri",St. Francois County,Missouri,54482,110200,,,
"St. Louis County, Missouri",St. Louis County,Missouri,92834,181100,,,
"Saline County, Missouri",Saline County,Missouri,53983,96700,,,
"Schuyler County, Missouri",Schuyler County,Missouri,51620,72500,,,
"Scotland County, Missouri",Scotland County,Missouri,61916,82000,,,
"Scott County, Missouri",Scott County,Missouri,56779,103300,,,
"Shannon County, Missouri",Shannon County,Missouri,43384,101400,,,
"Shelby County, Missouri",Shelby County,Missouri,54293,70300,75500,,142700
"Stoddard County, Missouri",Stoddard County,Missouri,52064,91300,,,160900
"Stone County, Missouri",Stone County,Missouri,61032,160600,165000,98500,302200
"Sullivan County, Missouri",Sullivan County,Missouri,53168,77700,21300,19400,36800
"Taney County, Missouri",Taney County,Missouri,51636,124400,140500,79300,245900
"Texas County, Missouri",Texas County,Missouri,46417,105800,,,
"Vernon County, Missouri",Vernon County,Missouri,55298,97100,,,
"Warren County, Missouri",Warren County,Missouri,71868,166100,176000,133100,285600
"Washington County, Missouri",Washington County,Missouri,48975,90400,106700,58300,186100
"Wayne County, Missouri",Wayne County,Missouri,44469,72700,,,
"Webster County, Missouri",Webster County,Missouri,56569,122500,,,117500
"Worth County, Missouri",Worth County,Missouri,54082,60600,,,
"Wright County, Missouri",Wright County,Missouri,46932,89500,,,
"St. Louis city, Missouri",St. Louis city,Missouri,57588,123800,,,
"Beaverhead County, Montana",Beaverhead County,Montana,65318,192600,,,277800
"Big Horn County, Montana",Big Horn County,Montana,60074,100000,136500,105000,205500
"Blaine County, Montana",Blaine County,Montana,46783,85800,143400,101300,232900
"Broadwater County, Montana",Broadwater County,Montana,76092,195000,185200,133000,
"Carbon County, Montana",Carbon County,Montana,69600,227400,207200,148700,333500
"Carter County, Montana",Carter County,Montana,67891,97900,,,
"Cascade County, Montana",Cascade County,Montana,65802,168100,198700,138800,
"Chouteau County, Montana",Chouteau County,Montana,54444,123000,167300,114200,268100
"Custer County, Montana",Custer County,Montana,68591,157000,144800,121200,229600
"Daniels County, Montana",Daniels County,Montana,73996,123500,151900,106800,229000
"Dawson County, Montana",Dawson County,Montana,70263,154300,175000,101300,228700
"Deer Lodge County, Montana",Deer Lodge County,Montana,55157,116700,122300,77700,202600
"Fallon County, Montana",Fallon County,Montana,75286,154200,,,
"Fergus County, Montana",Fergus County,Montana,61657,133700,,,
"Flathead County, Montana",Flathead County,Montana,68472,246500,303300,216000,474000
"Gallatin County, Montana",Gallatin County,Montana,80753,303700,403600,266000,582000
"Garfield County, Montana",Garfield County,Montana,72293,116300,,,
"Glacier County, Montana",Glacier County,Montana,47141,105000,131500,88900,204100
"Golden Valley County, Montana",Golden Valley County,Montana,56398,98300,,,
"Granite County, Montana",Granite County,Montana,68724,218900,179700,107700,314000
"Hill County, Montana",Hill County,Montana,56362,128000,172500,,
"Jefferson County, Montana",Jefferson County,Montana,80622,264000,201200,134200,280300
"Judith Basin County, Montana",Judith Basin County,Montana,59519,138500,178400,89300,
"Lake County, Montana",Lake County,Montana,60404,224100,279700,171900,
"Lewis and Clark County, Montana",Lewis and Clark County,Montana,73285,220600,241900,177500,343300
"Liberty County, Montana",Liberty County,Montana,81229,108000,,,
"Lincoln County, Montana",Lincoln County,Montana,50665,175500,172500,,
"McCone County, Montana",McCone County,Montana,66046,111900,,,
"Madison County, Montana",Madison County,Montana,67328,252200,217100,162800,
"Meagher County, Montana",Meagher County,Montana,48819,136300,,,
"Mineral County, Montana",Mineral County,Montana,51375,159800,141500,,221700
"Missoula County, Montana",Missoula County,Montana,68934,259600,309000,243800,443300
"Musselshell County, Montana",Musselshell County,Montana,53323,161400,125500,98000,221100
"Park County, Montana",Park County,Montana,62413,235600,224500,175000,323600
"Petroleum County, Montana",Petroleum County,Montana,64053,112000,,,
"Phillips County, Montana",Phillips County,Montana,51733,117800,,,
"Pondera County, Montana",Pondera County,Montana,58204,122100,156400,,
"Powder River County, Montana",Powder River County,Montana,62668,110900,,,
"Powell County, Montana",Powell County,Montana,62591,141000,,,189300
"Prairie County, Montana",Prairie County,Montana,67310,100700,,,
"Ravalli County, Montana",Ravalli County,Montana,59371,246600,215900,165200,
"Richland County, Montana",Richland County,Montana,84546,213000,219400,159300,295100
"Roosevelt County, Montana",Roosevelt County,Montana,57029,116400,,,
"Rosebud County, Montana",Rosebud County,Montana,65761,118600,132800,108800,225700
"Sanders County, Montana",Sanders County,Montana,51560,205000,,,191000
"Sheridan County, Montana",Sheridan County,Montana,71430,146500,146900,106300,201500
"Silver Bow County, Montana",Silver Bow County,Montana,57682,133800,,,
"Stillwater County, Montana",Stillwater County,Montana,76519,225200,199500,156800,277400
"Sweet Grass County, Montana",Sweet Grass County,Montana,65888,225900,209800,144000,311600
"Teton County, Montana",Teton County,Montana,64723,156600,151100,99500,213100
"Toole County, Montana",Toole County,Montana,65836,125200,140600,91900,239100
"Treasure County, Montana",Treasure County,Montana,50855,105500,,,
"Valley County, Montana",Valley County,Montana,64992,135600,152100,121200,215100
"Wheatland County, Montana",Wheatland County,Montana,48530,89300,,,
"Wibaux County, Montana",Wibaux County,Montana,55246,110100,,,
"Yellowstone County, Montana",Yellowstone County,Montana,78139,210500,234400,174300,342000
"Adams County, Nebraska",Adams County,Nebraska,68397,115300,,,
"Antelope County, Nebraska",Antelope County,Nebraska,65517,78500,,,
"Arthur County, Nebraska",Arthur County,Nebraska,51794,101500,,,
"Banner County, Nebraska",Banner County,Nebraska,73206,137200,,,
"Blaine County, Nebraska",Blaine County,Nebraska,65236,85900,,,
"Boone County, Nebraska",Boone County,Nebraska,67479,105600,,,
"Box Butte County, Nebraska",Box Butte County,Nebraska,68352,105400,,,
"Boyd County, Nebraska",Boyd County,Nebraska,60107,63800,,,
"Brown County, Nebraska",Brown County,Nebraska,61087,80200,,,
"Buffalo County, Nebraska",Buffalo County,Nebraska,71668,161200,207300,,308800
"Burt County, Nebraska",Burt County,Nebraska,61666,91600,,,
"Butler County, Nebraska",Butler County,Nebraska,64361,111500,,,
"Cass County, Nebraska",Cass County,Nebraska,82667,166200,,113700,
"Cedar County, Nebraska",Cedar County,Nebraska,71740,113600,,,
"Chase County, Nebraska",Chase County,Nebraska,72480,109900,,,
"Cherry County, Nebraska",Cherry County,Nebraska,62787,119800,,,
"Cheyenne County, Nebraska",Cheyenne County,Nebraska,74565,114100,,,
"Clay County, Nebraska",Clay County,Nebraska,65581,85000,93200,,199200
"Colfax County, Nebraska",Colfax County,Nebraska,66222,94300,,,
"Cuming County, Nebraska",Cuming County,Nebraska,68000,113200,,,
"Custer County, Nebraska",Custer County,Nebraska,73606,92800,,,
"Dakota County, Nebraska",Dakota County,Nebraska,63231,116400,,,
"Dawes County, Nebraska",Dawes County,Nebraska,58175,107500,,,
"Dawson County, Nebraska",Dawson County,Nebraska,66472,101000,,,
"Deuel County, Nebraska",Deuel County,Nebraska,63133,76300,,,
"Dixon County, Nebraska",Dixon County,Nebraska,65690,87600,,,
"Dodge County, Nebraska",Dodge County,Nebraska,65858,119600,134200,85200,217400
"Douglas County, Nebraska",Douglas County,Nebraska,80671,155100,170800,104200,292700
"Dundy County, Nebraska",Dundy County,Nebraska,60856,73900,,,
"Fillmore County, Nebraska",Fillmore County,Nebraska,69346,76100,,,187400
"Franklin County, Nebraska",Franklin County,Nebraska,62456,62000,,,
"Frontier County, Nebraska",Frontier County,Nebraska,65064,98200,,,
"Furnas County, Nebraska",Furnas County,Nebraska,54665,65300,80200,33800,220000
"Gage County, Nebraska",Gage County,Nebraska,62863,108800,110200,,203300
"Garden County, Nebraska",Garden County,Nebraska,73217,81800,,,
"Garfield County, Nebraska",Garfield County,Nebraska,55783,96100,,,
"Gosper County, Nebraska",Gosper County,Nebraska,73385,116300,,,
"Grant County, Nebraska",Grant County,Nebraska,56173,55300,,,
"Greeley County, Nebraska",Greeley County,Nebraska,59314,69400,,,
"Hall County, Nebraska",Hall County,Nebraska,68796,136500,158800,101200,240900
"Hamilton County, Nebraska",Hamilton County,Nebraska,77809,136200,,,
"Harlan County, Nebraska",Harlan County,Nebraska,58091,83200,,,
"Hayes County, Nebraska",Hayes County,Nebraska,62236,77500,,,
"Hitchcock County, Nebraska",Hitchcock County,Nebraska,55022,58400,,,
"Holt County, Nebraska",Holt County,Nebraska,64209,102900,,,
"Hooker County, Nebraska",Hooker County,Nebraska,59744,85800,,,
"Howard County, Nebraska",Howard County,Nebraska,63322,119600,,,
"Jefferson County, Nebraska",Jefferson County,Nebraska,58495,75500,,,
"Johnson County, Nebraska",Johnson County,Nebraska,61322,82200,,,
"Kearney County, Nebraska",Kearney County,Nebraska,73310,128600,,,
"Keith County, Nebraska",Keith County,Nebraska,58876,108400,,,
"Keya Paha County, Nebraska",Keya Paha County,Nebraska,61644,72000,,,
"Kimball County, Nebraska",Kimball County,Nebraska,56021,83200,,,
"Knox County, Nebraska",Knox County,Nebraska,63104,85100,,,
"Lancaster County, Nebraska",Lancaster County,Nebraska,74201,162900,181300,128300,298300
"Lincoln County, Nebraska",Lincoln County,Nebraska,69681,130800,153400,90500,250000
"Logan County, Nebraska",Logan County,Nebraska,61134,110900,,,
"Loup County, Nebraska",Loup County,Nebraska,67147,159100,,,
"McPherson County, Nebraska",McPherson County,Nebraska,64257,137500,,,
"Madison County, Nebraska",Madison County,Nebraska,63452,126100,165500,98700,272500
"Merrick County, Nebraska",Merrick County,Nebraska,66765,90900,,,
"Morrill County, Nebraska",Morrill County,Nebraska,59627,87400,92300,,193300
"Nance County, Nebraska",Nance County,Nebraska,60213,80400,,,
"Nemaha County, Nebraska",Nemaha County,Nebraska,70438,114600,,,
"Nuckolls County, Nebraska",Nuckolls County,Nebraska,54193,62300,,,
"Otoe County, Nebraska",Otoe County,Nebraska,69386,130700,,,
"Pawnee County, Nebraska",Pawnee County,Nebraska,61890,71100,,,
"Perkins County, Nebraska",Perkins County,Nebraska,71833,105600,,,
"Phelps County, Nebraska",Phelps County,Nebraska,69797,120000,,,
"Pierce County, Nebraska",Pierce County,Nebraska,68115,102600,,,
"Platte County, Nebraska",Platte County,Nebraska,70744,136600,163300,,254800
"Polk County, Nebraska",Polk County,Nebraska,80523,100200,,,
"Red Willow County, Nebraska",Red Willow County,Nebraska,58817,91500,,,
"Richardson County, Nebraska",Richardson County,Nebraska,59222,69300,,,
"Rock County, Nebraska",Rock County,Nebraska,73128,83700,,,
"Saline County, Nebraska",Saline County,Nebraska,59532,95000,,,
"Sarpy County, Nebraska",Sarpy County,Nebraska,89596,173900,199500,147700,309400
"Saunders County, Nebraska",Saunders County,Nebraska,77832,159400,180400,110000,339200
"Scotts Bluff County, Nebraska",Scotts Bluff County,Nebraska,64455,116600,124900,,208700
"Seward County, Nebraska",Seward County,Nebraska,76668,159700,,,
"Sheridan County, Nebraska",Sheridan County,Nebraska,58342,70900,,,
"Sherman County, Nebraska",Sherman County,Nebraska,61536,85400,,,
"Sioux County, Nebraska",Sioux County,Nebraska,57949,103200,,,
"Stanton County, Nebraska",Stanton County,Nebraska,72832,111900,,,
"Thayer County, Nebraska",Thayer County,Nebraska,68216,67500,,,
"Thomas County, Nebraska",Thomas County,Nebraska,63595,82300,,,
"Thurston County, Nebraska",Thurston County,Nebraska,61682,79100,,,
"Valley County, Nebraska",Valley County,Nebraska,62426,92700,,,
"Washington County, Nebraska",Washington County,Nebraska,83108,182400,195300,,342600
"Wayne County, Nebraska",Wayne County,Nebraska,70997,133000,,,
"Webster County, Nebraska",Webster County,Nebraska,60617,75600,,,
"Wheeler County, Nebraska",Wheeler County,Nebraska,59451,104300,,,
"York County, Nebraska",York County,Nebraska,68240,128400,,,
"Churchill County, Nevada",Churchill County,Nevada,61501,169100,,,334800
"Clark County, Nevada",Clark County,Nevada,73247,212300,278000,191000,408400
"Douglas County, Nevada",Douglas County,Nevada,82363,311400,422700,303700,733000
"Elko County, Nevada",Elko County,Nevada,87582,198100,,,
"Esmeralda County, Nevada",Esmeralda County,Nevada,48413,73500,,,
"Eureka County, Nevada",Eureka County,Nevada,78668,83100,,,
"Humboldt County, Nevada",Humboldt County,Nevada,76754,163500,,,403600
"Lander County, Nevada",Lander County,Nevada,80626,151900,,,
"Lincoln County, Nevada",Lincoln County,Nevada,69934,132900,,,
"Lyon County, Nevada",Lyon County,Nevada,62590,158000,255600,190900,357900
"Mineral County, Nevada",Mineral County,Nevada,51020,90900,,,
"Nye County, Nevada",Nye County,Nevada,54231,125100,,,
"Pershing County, Nevada",Pershing County,Nevada,59968,101100,,59700,
"Storey County, Nevada",Storey County,Nevada,80037,187100,,,
"Washoe County, Nevada",Washoe County,Nevada,79364,268100,362000,261200,563400
"White Pine County, Nevada",White Pine County,Nevada,71557,130600,,,
"Carson City, Nevada",Carson City,Nevada,66713,217400,318500,234400,498500
"Belknap County, New Hampshire",Belknap County,New Hampshire,81682,220400,247100,164900,444400
"Carroll County, New Hampshire",Carroll County,New Hampshire,79666,227600,258400,169700,520100
"Cheshire County, New Hampshire",Cheshire County,New Hampshire,77410,188700,198600,146100,291700
"Coos County, New Hampshire",Coos County,New Hampshire,59167,123200,120400,59900,213500
"Grafton County, New Hampshire",Grafton County,New Hampshire,85796,215600,213200,127900,365900
"Hillsborough County, New Hampshire",Hillsborough County,New Hampshire,94966,256300,285100,202500,397400
"Merrimack County, New Hampshire",Merrimack County,New Hampshire,87058,226700,250700,183700,355700
"Rockingham County, New Hampshire",Rockingham County,New Hampshire,108616,295900,343500,247400,510900
"Strafford County, New Hampshire",Strafford County,New Hampshire,83316,220900,245200,164700,360200
"Sullivan County, New Hampshire",Sullivan County,New Hampshire,73239,171100,184500,115800,327400
"Atlantic County, New Jersey",Atlantic County,New Jersey,78395,219000,184200,97100,327300
"Bergen County, New Jersey",Bergen County,New Jersey,126475,451200,468700,340600,729500
"Burlington County, New Jersey",Burlington County,New Jersey,104955,245300,228800,143200,364600
"Camden County, New Jersey",Camden County,New Jersey,86179,193500,174400,85800,286700
"Cape May County, New Jersey",Cape May County,New Jersey,85182,295500,347000,174200,814400
"Cumberland County, New Jersey",Cumberland County,New Jersey,65539,160500,135100,68600,199600
"Essex County, New Jersey",Essex County,New Jersey,95235,362300,388600,213100,674300
"Gloucester County, New Jersey",Gloucester County,New Jersey,98029,213800,196200,135600,295200
"Hudson County, New Jersey",Hudson County,New Jersey,92630,349500,444700,298500,729300
"Hunterdon County, New Jersey",Hunterdon County,New Jersey,143633,393800,377300,241300,553500
"Mercer County, New Jersey",Mercer County,New Jersey,111137,281900,240900,,511100
"Middlesex County, New Jersey",Middlesex County,New Jersey,104526,329000,328900,239100,475700
"Monmouth County, New Jersey",Monmouth County,New Jersey,123664,396200,423900,267000,693900
"Morris County, New Jersey",Morris County,New Jersey,145273,438100,436600,290200,683200
"Ocean County, New Jersey",Ocean County,New Jersey,86433,267900,282800,164100,509800
"Passaic County, New Jersey",Passaic County,New Jersey,86232,333200,338500,241500,456900
"Salem County, New Jersey",Salem County,New Jersey,81352,185800,139000,69700,217700
"Somerset County, New Jersey",Somerset County,New Jersey,144629,412800,405200,251600,680800
"Sussex County, New Jersey",Sussex County,New Jersey,108722,264100,234900,153800,356400
"Union County, New Jersey",Union County,New Jersey,108110,351800,346800,242400,609900
"Warren County, New Jersey",Warren County,New Jersey,94806,256700,226300,139900,339600
"Bernalillo County, New Mexico",Bernalillo County,New Mexico,69180,189700,201900,147500,316000
"Catron County, New Mexico",Catron County,New Mexico,48888,164600,,,
"Chaves County, New Mexico",Chaves County,New Mexico,56718,106400,,,
"Cibola County, New Mexico",Cibola County,New Mexico,47691,89800,,,150600
"Colfax County, New Mexico",Colfax County,New Mexico,46296,105900,,,
"Curry County, New Mexico",Curry County,New Mexico,57734,131200,,,187000
"De Baca County, New Mexico",De Baca County,New Mexico,51844,67700,,,
"Doña Ana County, New Mexico",Doña Ana County,New Mexico,57160,140700,,,
"Eddy County, New Mexico",Eddy County,New Mexico,73566,143100,,,
"Grant County, New Mexico",Grant County,New Mexico,54865,125300,128100,,216600
"Guadalupe County, New Mexico",Guadalupe County,New Mexico,40820,81100,102100,97200,133400
"Harding County, New Mexico",Harding County,New Mexico,68669,67800,,,
"Hidalgo County, New Mexico",Hidalgo County,New Mexico,43631,81200,110700,102500,124800
"Lea County, New Mexico",Lea County,New Mexico,74244,118500,,,
"Lincoln County, New Mexico",Lincoln County,New Mexico,62393,171900,205600,,358000
"Los Alamos County, New Mexico",Los Alamos County,New Mexico,123134,285300,305300,197500,472300
"Luna County, New Mexico",Luna County,New Mexico,40156,83800,103800,,
"McKinley County, New Mexico",McKinley County,New Mexico,45227,62800,137200,96700,209900
"Mora County, New Mexico",Mora County,New Mexico,41472,109100,,,
"Otero County, New Mexico",Otero County,New Mexico,54992,106300,,,228600
"Quay County, New Mexico",Quay County,New Mexico,42791,72200,,,
"Rio Arriba County, New Mexico",Rio Arriba County,New Mexico,48652,167100,171700,129600,249300
"Roosevelt County, New Mexico",Roosevelt County,New Mexico,49966,114300,,,
"Sandoval County, New Mexico",Sandoval County,New Mexico,74264,183300,202200,152000,342400
"San Juan County, New Mexico",San Juan County,New Mexico,64648,143300,,132900,283300
"San Miguel County, New Mexico",San Miguel County,New Mexico,41384,132900,,,
"Santa Fe County, New Mexico",Santa Fe County,New Mexico,82037,277700,360400,244600,623100
"Sierra County, New Mexico",Sierra County,New Mexico,46607,99600,80800,51200,131500
"Socorro County, New Mexico",Socorro County,New Mexico,47599,103000,,87700,176500
"Taos County, New Mexico",Taos County,New Mexico,51856,218400,,158700,430400
"Torrance County, New Mexico",Torrance County,New Mexico,47010,111700,,,
"Union County, New Mexico",Union County,New Mexico,59240,89500,114900,102000,166200
"Valencia County, New Mexico",Valencia County,New Mexico,54477,133100,143400,87900,233100
"Albany County, New York",Albany County,New York,84568,214400,226300,162600,343800
"Allegany County, New York",Allegany County,New York,56806,73300,72300,42000,129300
"Bronx County, New York",Bronx County,New York,53730,371800,435800,154400,555700
"Broome County, New York",Broome County,New York,65202,113100,115700,69200,169800
"Cattaraugus County, New York",Cattaraugus County,New York,58197,86500,76700,44000,143500
"Cayuga County, New York",Cayuga County,New York,68362,120000,119400,74300,196800
"Chautauqua County, New York",Chautauqua County,New York,57231,85800,80900,44400,157100
"Chemung County, New York",Chemung County,New York,67055,105500,94700,53800,170300
"Chenango County, New York",Chenango County,New York,60495,95900,95800,62000,163300
"Clinton County, New York",Clinton County,New York,65435,129000,130900,74100,210400
"Columbia County, New York",Columbia County,New York,82281,224600,231700,157800,400200
"Cortland County, New York",Cortland County,New York,68452,113900,121800,84000,187300
"Delaware County, New York",Delaware County,New York,60360,138000,140600,80200,236900
"Dutchess County, New York",Dutchess County,New York,97278,275200,274100,203500,395900
"Erie County, New York",Erie County,New York,72672,139900,162200,109600,277000
"Essex County, New York",Essex County,New York,69488,146900,156900,86900,340500
"Franklin County, New York",Franklin County,New York,62870,102200,96600,54900,181300
"Fulton County, New York",Fulton County,New York,61941,107600,119300,64800,208800
"Genesee County, New York",Genesee County,New York,66534,111900,119800,81300,184200
"Greene County, New York",Greene County,New York,69417,176100,181200,123500,294100
"Hamilton County, New York",Hamilton County,New York,64039,164000,,,
"Herkimer County, New York",Herkimer County,New York,60652,95800,102800,62300,189800
"Jefferson County, New York",Jefferson County,New York,63176,149300,126800,,205100
"Kings County, New York",Kings County,New York,80782,623900,782300,511000,1334500
"Lewis County, New York",Lewis County,New York,65970,121700,117600,67600,176900
"Livingston County, New York",Livingston County,New York,66113,125000,130300,78500,201000
"Madison County, New York",Madison County,New York,72824,132800,125300,72500,220000
"Monroe County, New York",Monroe County,New York,75077,142300,142200,90300,236000
"Montgomery County, New York",Montgomery County,New York,62118,99900,109700,61700,179300
"Nassau County, New York",Nassau County,New York,140019,460700,540200,426800,847900
"New York County, New York",New York County,New York,146019,915300,1256400,750400,2816100
"Niagara County, New York",Niagara County,New York,66819,114800,138400,80600,223900
"Oneida County, New York",Oneida County,New York,67291,120000,129000,81600,201800
"Onondaga County, New York",Onondaga County,New York,76584,139400,141200,93700,229500
"Ontario County, New York",Ontario County,New York,82045,156500,168300,110400,294800
"Orange County, New York",Orange County,New York,94253,260300,251500,162700,375600
"Orleans County, New York",Orleans County,New York,60952,93600,103300,65600,165200
"Oswego County, New York",Oswego County,New York,65557,97800,106400,65200,168600
"Otsego County, New York",Otsego County,New York,66706,141900,134100,81200,233500
"Putnam County, New York",Putnam County,New York,124736,357700,351200,246000,506900
"Queens County, New York",Queens County,New York,81335,481300,645100,458300,944200
"Rensselaer County, New York",Rensselaer County,New York,80038,183400,182500,128900,281000
"Richmond County, New York",Richmond County,New York,95885,460200,541200,397900,696900
"Rockland County, New York",Rockland County,New York,116063,425100,453300,331500,618000
"St. Lawrence County, New York",St. Lawrence County,New York,61209,88000,,,
"Saratoga County, New York",Saratoga County,New York,96086,243600,264800,178200,389900
"Schenectady County, New York",Schenectady County,New York,77444,164100,172800,113700,270300
"Schoharie County, New York",Schoharie County,New York,65357,143300,137800,78200,210200
"Schuyler County, New York",Schuyler County,New York,60353,114700,,,
"Seneca County, New York",Seneca County,New York,67092,98400,110300,67700,200600
"Steuben County, New York",Steuben County,New York,66573,95300,94000,54200,171200
"Suffolk County, New York",Suffolk County,New York,118116,379400,390000,285400,667300
"Sullivan County, New York",Sullivan County,New York,72552,167900,142300,,250300
"Tioga County, New York",Tioga County,New York,73357,113000,127500,77200,197100
"Tompkins County, New York",Tompkins County,New York,77086,190100,203000,135100,330900
"Ulster County, New York",Ulster County,New York,80754,221600,228400,151900,353200
"Warren County, New York",Warren County,New York,76756,192800,201700,127600,361000
"Washington County, New York",Washington County,New York,65798,144900,151500,92100,232100
"Wayne County, New York",Wayne County,New York,66991,118900,129800,78800,198900
"Westchester County, New York",Westchester County,New York,143304,513300,607300,424100,998100
"Wyoming County, New York",Wyoming County,New York,65699,108500,115100,72700,188200
"Yates County, New York",Yates County,New York,69970,128900,146400,88000,325600
"Alamance County, North Carolina",Alamance County,North Carolina,61661,145500,147000,81600,235900
"Alexander County, North Carolina",Alexander County,North Carolina,58427,131800,145100,85700,248100
"Alleghany County, North Carolina",Alleghany County,North Carolina,48306,136000,,,
"Anson County, North Carolina",Anson County,North Carolina,48704,83700,64100,21300,139300
"Ashe County, North Carolina",Ashe County,North Carolina,53570,150300,138400,64400,260400
"Avery County, North Carolina",Avery County,North Carolina,57207,138800,,,
"Beaufort County, North Carolina",Beaufort County,North Carolina,57902,123600,,,
"Bertie County, North Carolina",Bertie County,North Carolina,44366,78900,,,
"Bladen County, North Carolina",Bladen County,North Carolina,47930,89500,,,
"Brunswick County, North Carolina",Brunswick County,North Carolina,66755,194700,239300,156000,440900
"Buncombe County, North Carolina",Buncombe County,North Carolina,68070,209800,281900,195700,451000
"Burke County, North Carolina",Burke County,North Carolina,53644,115400,,,
"Cabarrus County, North Carolina",Cabarrus County,North Carolina,78678,180300,196700,121600,319000
"Caldwell County, North Carolina",Caldwell County,North Carolina,54112,112400,109600,40500,197200
"Camden County, North Carolina",Camden County,North Carolina,75354,222500,,,
"Carteret County, North Carolina",Carteret County,North Carolina,69494,197700,257400,140900,470000
"Caswell County, North Carolina",Caswell County,North Carolina,52548,104700,,,
"Catawba County, North Carolina",Catawba County,North Carolina,65737,139900,143100,71600,265600
"Chatham County, North Carolina",Chatham County,North Carolina,87295,251600,292000,126000,490800
"Cherokee County, North Carolina",Cherokee County,North Carolina,48872,145500,149200,89600,228900
"Chowan County, North Carolina",Chowan County,North Carolina,55192,128300,,,
"Clay County, North Carolina",Clay County,North Carolina,55055,154600,166500,95100,315200
"Cleveland County, North Carolina",Cleveland County,North Carolina,53251,110500,100000,45700,197100
"Columbus County, North Carolina",Columbus County,North Carolina,53735,85200,95500,54900,160200
"Craven County, North Carolina",Craven County,North Carolina,65127,156500,146300,84400,242200
"Cumberland County, North Carolina",Cumberland County,North Carolina,58623,131200,110400,53300,201000
"Currituck County, North Carolina",Currituck County,North Carolina,75697,244500,271600,156100,434400
"Dare County, North Carolina",Dare County,North Carolina,71132,285000,323800,230800,
"Davidson County, North Carolina",Davidson County,North Carolina,60339,134800,134400,65700,216100
"Davie County, North Carolina",Davie County,North Carolina,74553,170000,176400,94600,318900
"Duplin County, North Carolina",Duplin County,North Carolina,48769,88800,82800,38600,153200
"Durham County, North Carolina",Durham County,North Carolina,80512,195900,227200,153200,353000
"Edgecombe County, North Carolina",Edgecombe County,North Carolina,46861,84000,48600,20800,103800
"Forsyth County, North Carolina",Forsyth County,North Carolina,70952,151400,143900,73200,252300
"Franklin County, North Carolina",Franklin County,North Carolina,60778,140300,169500,92000,280300
"Gaston County, North Carolina",Gaston County,North Carolina,63296,130700,153100,78600,242200
