Geography,County,State,Median Income,ACS Home Value,Zillow Home Value,Zillow Bottom Tier Home Value,Zillow Top Tier Home Value
"Boone County, Arkansas",Boone County,Arkansas,54190,116600,117000,69700,183500
"Bradley County, Arkansas",Bradley County,Arkansas,51189,74300,,,
"Calhoun County, Arkansas",Calhoun County,Arkansas,51864,71000,,,
"Carroll County, Arkansas",Carroll County,Arkansas,53272,121100,143000,86400,236700
"Chicot County, Arkansas",Chicot County,Arkansas,50315,63000,,,152700
"Clark County, Arkansas",Clark County,Arkansas,51310,95000,,,
"Clay County, Arkansas",Clay County,Arkansas,43242,70000,,,
"Cleburne County, Arkansas",Cleburne County,Arkansas,59094,127000,132500,74500,241100
"Cleveland County, Arkansas",Cleveland County,Arkansas,57836,87200,,,
"Columbia County, Arkansas",Columbia County,Arkansas,50936,76200,,,
"Conway County, Arkansas",Conway County,Arkansas,55047,98700,,,
"Craighead County, Arkansas",Craighead County,Arkansas,65052,134600,125900,70600,207700
"Crawford County, Arkansas",Crawford County,Arkansas,56755,112500,113500,64400,177200
"Crittenden County, Arkansas",Crittenden County,Arkansas,52951,106300,88600,22000,176500
"Cross County, Arkansas",Cross County,Arkansas,56758,79400,,,
"Dallas County, Arkansas",Dallas County,Arkansas,42788,64500,,,114700
"Desha County, Arkansas",Desha County,Arkansas,42114,56700,47100,14400,112800
"Drew County, Arkansas",Drew County,Arkansas,51474,93200,,,
"Faulkner County, Arkansas",Faulkner County,Arkansas,66703,153500,148000,100100,238100
"Franklin County, Arkansas",Franklin County,Arkansas,49190,90600,,,
"Fulton County, Arkansas",Fulton County,Arkansas,47481,91300,,,
"Garland County, Arkansas",Garland County,Arkansas,60255,131500,141700,77600,268900
"Grant County, Arkansas",Grant County,Arkansas,65399,123500,,,
"Greene County, Arkansas",Greene County,Arkansas,56568,110400,103900,49300,175100
"Hempstead County, Arkansas",Hempstead County,Arkansas,49640,76200,,,
"Hot Spring County, Arkansas",Hot Spring County,Arkansas,54065,88900,,,
"Howard County, Arkansas",Howard County,Arkansas,58066,94100,,,
"Independence County, Arkansas",Independence County,Arkansas,57679,104400,95100,54000,167900
"Izard County, Arkansas",Izard County,Arkansas,47766,79400,,,
"Jackson County, Arkansas",Jackson County,Arkansas,50779,61300,,,
"Jefferson County, Arkansas",Jefferson County,Arkansas,51740,81800,,16100,137100
"Johnson County, Arkansas",Johnson County,Arkansas,47956,95400,98700,,162900
"Lafayette County, Arkansas",Lafayette County,Arkansas,57784,65900,,,
"Lawrence County, Arkansas",Lawrence County,Arkansas,47432,77100,,,
"Lee County, Arkansas",Lee County,Arkansas,40950,67100,,,
"Lincoln County, Arkansas",Lincoln County,Arkansas,50297,66100,,,
"Little River County, Arkansas",Little River County,Arkansas,54818,72400,,,
"Logan County, Arkansas",Logan County,Arkansas,50188,90400,,,
"Lonoke County, Arkansas",Lonoke County,Arkansas,66979,135100,137900,,217300
"Madison County, Arkansas",Madison County,Arkansas,58857,108500,,,
"Marion County, Arkansas",Marion County,Arkansas,44328,117300,,,187100
"Miller County, Arkansas",Miller County,Arkansas,55046,108500,109900,41300,193100
"Mississippi County, Arkansas",Mississippi County,Arkansas,50578,81400,,,
"Monroe County, Arkansas",Monroe County,Arkansas,44440,54500,,,
"Montgomery County, Arkansas",Montgomery County,Arkansas,49080,96900,,,
