"Date","RegionID","RegionName","State","Metro","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-12-31,2820,"Outagamie County","WI","Appleton",344,175300,0.00805060379528465,0.0299647473560517,0.111604311984781,0.0630926970622872,0.02761412461845,"2018-12","2018-Q4",175300,0,"2018-12"
2018-12-31,1711,"Forsyth County","GA","Atlanta-Sandy Springs-Roswell",345,338000,0.00386100386100386,0.015015015015015,0.0669191919191919,0.0621731973335757,0.0270983396320339,"2018-12","2018-Q4",338000,0,"2018-12"
2018-12-31,872,"Benton County","WA","Kennewick-Richland",346,302700,0.00967311541027352,0.0377099760027425,0.216151064684612,0.115312491652528,0.0619166574545089,"2018-12","2018-Q4",302700,0,"2018-12"
2018-12-31,2354,"Imperial County","CA","El Centro",347,210300,-0.000475285171102662,0.0139826422372228,0.104516806722689,0.0868073386499477,0.0344363280257898,"2006-07","2006-Q3",250700,-0.161148783406462,"2005-07"
2018-12-31,3041,"Tippecanoe County","IN","Lafayette-West Lafayette",348,157300,0.0076873798846893,0.0287769784172662,0.0766598220396988,0.0445461662123117,0.0211459161580216,"2018-12","2018-Q4",157300,0,"2018-12"
2018-12-31,2341,"Hernando County","FL","Tampa-St. Petersburg-Clearwater",349,166700,0.00846944948578342,0.0341191066997519,0.134785568413887,0.123562365476148,0.0261290284949856,"2006-08","2006-Q3",196200,-0.150356778797146,"2005-07"
2018-12-31,1191,"Medina County","OH","Cleveland-Elyria",350,198300,0.00405063291139241,0.0112187659357471,0.0638412017167382,0.0459562211995006,0.021820458995859,"2018-12","2018-Q4",198300,0,"2018-12"
2018-12-31,2982,"Montgomery County","TN","Clarksville",351,160700,0.004375,0.022915340547422,0.0880162491536899,0.0356208499557724,0.0212697992727264,"2018-12","2018-Q4",160700,0,"2018-12"
2018-12-31,2449,"Muskegon County","MI","Muskegon",352,125300,0.0024,0.0170454545454545,0.108849557522124,0.0977557105473283,0.0373925733716989,"2018-12","2018-Q4",125300,0,"2018-12"
2018-12-31,860,"Beaver County","PA","Pittsburgh",353,137200,-0.00145560407569141,0.00365764447695684,0.0561970746728253,0.0448032223505543,0.0277961352248999,"2018-11","2018-Q4",137400,-0.00145560407569141,"2018-11"
2018-12-31,1225,"Monroe County","PA","East Stroudsburg",354,153500,0.00458115183246073,0.0192563081009296,0.132005899705015,0.0378142724781878,-0.0124572314480946,"2007-08","2007-Q3",195900,-0.216436957631445,"2003-04"
2018-12-31,1186,"McLean County","IL","Bloomington",355,147300,-0.003382949932341,-0.00808080808080808,0.0130674002751032,0.00315247483983838,0.000749858618798172,"2018-09","2018-Q3",148500,-0.00808080808080808,"2018-04"
2018-12-31,2805,"Minnehaha County","SD","Sioux Falls",356,195000,0.00308641975308642,0.015625,0.0743801652892562,0.058573211662698,0.0322983224626276,"2018-12","2018-Q4",195000,0,"2018-12"
2018-12-31,2360,"Johnston County","NC","Raleigh",357,177100,0.00339943342776204,0.0254777070063694,0.0752884031572556,0.0537668716033755,0.0231298531488324,"2018-12","2018-Q4",177100,0,"2018-12"
2018-12-31,67,"Bay County","FL","Panama City",358,210400,0.00285986653956149,0.0233463035019455,0.110876451953537,0.0799920124913127,0.0142721394588434,"2006-02","2006-Q1",255000,-0.174901960784314,"2005-03"
2018-12-31,1595,"Carroll County","MD","Baltimore-Columbia-Towson",359,321000,0.00438047559449312,0.006900878293601,0.0422077922077922,0.0309679485261558,0.0044692951959866,"2006-07","2006-Q3",360100,-0.108580949736184,"2005-04"
2018-12-31,2878,"Winnebago County","WI","Oshkosh-Neenah",360,183200,0.00493691716950082,0.0077007700770077,0.0789163722025913,0.0502078582488628,0.0249395341440446,"2018-12","2018-Q4",183200,0,"2018-12"
2018-12-31,1837,"Kenosha County","WI","Chicago-Naperville-Elgin",361,182300,0.00773908236594804,0.0399315459212778,0.108880778588808,0.0741261673231397,0.0126283045303326,"2018-12","2018-Q4",182300,0,"2018-12"
