GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median value (dollars),Margin of Error; Median value (dollars)
0500000US05059,05059,"Hot Spring County, Arkansas",88900,4236
0500000US05061,05061,"Howard County, Arkansas",94100,8435
0500000US05063,05063,"Independence County, Arkansas",104400,7004
0500000US05065,05065,"Izard County, Arkansas",79400,4000
0500000US05067,05067,"Jackson County, Arkansas",61300,4595
0500000US05069,05069,"Jefferson County, Arkansas",81800,3017
0500000US05071,05071,"Johnson County, Arkansas",95400,4150
0500000US05073,05073,"Lafayette County, Arkansas",65900,7290
0500000US05075,05075,"Lawrence County, Arkansas",77100,3620
0500000US05077,05077,"Lee County, Arkansas",67100,4735
0500000US05079,05079,"Lincoln County, Arkansas",66100,7512
0500000US05081,05081,"Little River County, Arkansas",72400,4919
0500000US05083,05083,"Logan County, Arkansas",90400,5185
0500000US05085,05085,"Lonoke County, Arkansas",135100,3825
0500000US05087,05087,"Madison County, Arkansas",108500,9307
0500000US05089,05089,"Marion County, Arkansas",117300,9068
0500000US05091,05091,"Miller County, Arkansas",108500,7112
0500000US05093,05093,"Mississippi County, Arkansas",81400,2561
0500000US05095,05095,"Monroe County, Arkansas",54500,4563
0500000US05097,05097,"Montgomery County, Arkansas",96900,13221
0500000US05099,05099,"Nevada County, Arkansas",62700,3941
0500000US05101,05101,"Newton County, Arkansas",91600,11241
0500000US05103,05103,"Ouachita County, Arkansas",67900,5222
0500000US05105,05105,"Perry County, Arkansas",99100,9422
0500000US05107,05107,"Phillips County, Arkansas",67100,3578
0500000US05109,05109,"Pike County, Arkansas",78600,4383
0500000US05111,05111,"Poinsett County, Arkansas",78200,4863
0500000US05113,05113,"Polk County, Arkansas",87100,4860
0500000US05115,05115,"Pope County, Arkansas",126100,5456
0500000US05117,05117,"Prairie County, Arkansas",65300,4566
0500000US05119,05119,"Pulaski County, Arkansas",148300,2326
0500000US05121,05121,"Randolph County, Arkansas",81500,5462
0500000US05123,05123,"St. Francis County, Arkansas",61900,4298
0500000US05125,05125,"Saline County, Arkansas",147400,2847
